OTU,sampleName,OTUsize,dilution,sample,readSpikeSum,inputDNA,added.lysis.buffer.ml.,WEIGHT.g.,period,lysis.batch,aliquot,lysisBufferFrac,FSL,sample2,fittedOTUsize,fittedFSL
OTU473,HB.053.M1.S1.B,90,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,150.069225180602,Sample 6,-0.391282540677683,-0.296174713687341
OTU48,HB.053.M1.S1.B,82,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,136.729738497882,Sample 6,-0.355249795158447,-0.351029401860117
OTU49,HB.053.M1.S1.B,14387,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,23989.399363037,Sample 6,-0.395894188959053,-0.259004389196684
OTU5,HB.053.M1.S1.B,1010,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,1684.11019369343,Sample 6,-0.354526328298315,-0.379479378360763
OTU50,HB.053.M1.S1.B,79,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,131.727430991862,Sample 6,-0.355368174956317,-0.346374174850939
OTU500,HB.053.M1.S1.B,115,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,191.755121064103,Sample 6,-0.39143862051257,-0.290036951366131
OTU506,HB.053.M1.S1.B,27,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,45.0207675541807,Sample 6,-0.364506880137263,-0.340500741619466
OTU510,HB.053.M1.S1.B,81,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,135.062302662542,Sample 6,-0.391362808255618,-0.293018230879551
OTU54,HB.053.M1.S1.B,39,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,65.029997578261,Sample 6,-0.35190842167776,-0.401486499751972
OTU55,HB.053.M1.S1.B,26,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,43.3533317188407,Sample 6,-0.329830195471573,-0.401354228088816
OTU57,HB.053.M1.S1.B,55,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,91.7089709437014,Sample 6,-0.37195148533739,-0.369996324423032
OTU6,HB.053.M1.S1.B,790,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,1317.27430991862,Sample 6,-0.354208684121836,-0.391970578517087
OTU62,HB.053.M1.S1.B,12299,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,20507.793338847,Sample 6,-0.398112449316356,-0.139669562945801
OTU621,HB.053.M1.S1.B,28,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,46.6882033895207,Sample 6,-0.377892594029222,-0.401966980514026
OTU63,HB.053.M1.S1.B,133,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,221.768966100223,Sample 6,-0.388374190681626,-0.522621767922749
OTU64,HB.053.M1.S1.B,32,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,53.3579467308808,Sample 6,-0.364882825807552,-0.413723452330906
OTU655,HB.053.M1.S1.B,47,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,78.3694842609812,Sample 6,-0.391982731210239,-0.268640067257811
OTU66,HB.053.M1.S1.B,21,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,35.0161525421405,Sample 6,-0.379572051333425,-0.714230467262595
OTU7,HB.053.M1.S1.B,46824,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,78076.0155539614,Sample 6,-0.396329326427607,-0.19659639747182
OTU70,HB.053.M1.S1.B,7782,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,12975.9856706161,Sample 6,-0.397091750540441,-0.162098561705064
OTU71,HB.053.M1.S1.B,94,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,156.738968521962,Sample 6,-0.358122834003391,-0.494854457363876
OTU718,HB.053.M1.S1.B,31,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,51.6905108955408,Sample 6,-0.376442622169444,-0.286878204813409
OTU73,HB.053.M1.S1.B,7389,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,12320.6833873275,Sample 6,-0.400041588948073,-0.139228336592926
OTU75,HB.053.M1.S1.B,48,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,80.0369200963213,Sample 6,-0.356071858992237,-0.356521143058244
OTU752,HB.053.M1.S1.B,16,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,26.6789733654404,Sample 6,-0.390421221067671,-0.330045681405073
OTU78,HB.053.M1.S1.B,64,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,106.715893461762,Sample 6,-0.354358767116387,-0.332642970278698
OTU8,HB.053.M1.S1.B,434,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,723.667152537571,Sample 6,-0.354139145922824,-0.394705133804717
OTU843,HB.053.M1.S1.B,14,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,23.3441016947604,Sample 6,-0.392026233804966,-0.346450341935364
OTU86,HB.053.M1.S1.B,11182,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,18645.2675107722,Sample 6,-0.397198967646185,-0.207694612573774
OTU88,HB.053.M1.S1.B,2524,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,4208.60804839823,Sample 6,-0.392429339841106,-0.35440258221422
