OTUID sampleName readNum mtagNum soup exp soupRep PCR lib pcrRep readSpike mtagSpike readNumSpikeCorr mtagNumSpikeCorr inputCOINum inputGDNA
HAP002 A3_tag09_tag09_4 11 11 A within-spp 3 tag09_tag09 4 3 5023.08333333333 4038.58333333333 8.18799873915424 8.18480077584962 2411243.901 61
HAP002 B1_tag10_tag10_4 5 4 B within-spp 1 tag10_tag10 4 1 13509.4166666667 9230.5 1.38384953705132 1.30220464763556 1928995.121 48.8
HAP002 B1_tag11_tag11_4 23 21 B within-spp 1 tag11_tag11 4 2 8899.83333333333 6538.83333333333 9.66276522032248 9.65080416995896 1928995.121 48.8
HAP002 B1_tag12_tag12_4 11 10 B within-spp 1 tag12_tag12 4 3 25193.0833333333 13387.5833333333 1.6325512624166 2.24461721371171 1928995.121 48.8
HAP002 B2_tag26_tag26_4 10 9 B within-spp 2 tag26_tag26 4 1 6644.41666666667 4447 5.62728105050606 6.08162806386328 1928995.121 48.8
HAP002 B2_tag27_tag27_4 20 17 B within-spp 2 tag27_tag27 4 2 25910.1666666667 11220.6666666667 2.88612578074244 4.55275978848553 1928995.121 48.8
HAP002 B2_tag28_tag28_4 4 4 B within-spp 2 tag28_tag28 4 3 4064.83333333333 3005.08333333333 3.67936364754603 3.99988907684202 1928995.121 48.8
HAP002 B3_tag29_tag29_4 0 0 B within-spp 3 tag29_tag29 4 1 11664.5 7126.33333333333 0 0 1928995.121 48.8
HAP002 B3_tag31_tag31_4 0 0 B within-spp 3 tag31_tag31 4 2 9583.58333333333 6830.16666666667 0 0 1928995.121 48.8
HAP002 B3_tag32_tag32_4 0 0 B within-spp 3 tag32_tag32 4 3 14251.5 8574.16666666667 0 0 1928995.121 48.8
HAP002 C1_tag33_tag33_4 0 0 C within-spp 1 tag33_tag33 4 1 18745.25 10774 0 0 1541614.953 39
HAP002 C1_tag34_tag34_4 0 0 C within-spp 1 tag34_tag34 4 2 15205.6666666667 5962.91666666667 0 0 1541614.953 39
HAP002 C1_tag35_tag35_4 0 0 C within-spp 1 tag35_tag35 4 3 16927.5833333333 10320.9166666667 0 0 1541614.953 39
HAP002 C2_tag36_tag36_4 0 0 C within-spp 2 tag36_tag36 4 1 13507.25 8229.08333333333 0 0 1541614.953 39
HAP002 C2_tag37_tag37_4 0 0 C within-spp 2 tag37_tag37 4 2 94891.1666666667 24582 0 0 1541614.953 39
HAP002 C2_tag38_tag38_4 0 0 C within-spp 2 tag38_tag38 4 3 12973 7707.41666666667 0 0 1541614.953 39
HAP002 C3_tag51_tag51_4 0 0 C within-spp 3 tag51_tag51 4 1 18703.1666666667 10617.25 0 0 1541614.953 39
HAP002 C3_tag52_tag52_4 0 0 C within-spp 3 tag52_tag52 4 2 33934 14067.0833333333 0 0 1541614.953 39
HAP002 C3_tag53_tag53_4 0 0 C within-spp 3 tag53_tag53 4 3 12809.8333333333 7245.83333333333 0 0 1541614.953 39
HAP002 D1_tag54_tag54_4 0 0 D within-spp 1 tag54_tag54 4 1 43969.8333333333 15788.75 0 0 1233291.963 31.2
HAP002 D1_tag55_tag55_4 0 0 D within-spp 1 tag55_tag55 4 2 20732.5833333333 9532.58333333333 0 0 1233291.963 31.2
HAP002 D1_tag56_tag56_4 0 0 D within-spp 1 tag56_tag56 4 3 42170.9166666667 15970.3333333333 0 0 1233291.963 31.2
HAP002 D2_tag61_tag61_4 14 13 D within-spp 2 tag61_tag61 4 1 61743.0833333333 19059.3333333333 0.847803465165464 2.04965196404211 1233291.963 31.2
HAP002 D2_tag62_tag62_4 17 15 D within-spp 2 tag62_tag62 4 2 90701 22888.75 0.700797124618251 1.96930806618972 1233291.963 31.2
HAP002 D2_tag63_tag63_4 25 23 D within-spp 2 tag63_tag63 4 3 133652.333333333 33851.75 0.699389211311936 2.04169651495122 1233291.963 31.2
HAP002 D3_tag01_tag01_5 13 13 D within-spp 3 tag01_tag01 5 1 41403.0833333333 20631.75 1.17399469041154 1.89344093448205 1233291.963 31.2
HAP002 D3_tag02_tag02_5 25 22 D within-spp 3 tag02_tag02 5 2 33380.75 18693.1666666667 2.80026662073201 3.53658645316025 1233291.963 31.2
HAP002 D3_tag03_tag03_5 14 12 D within-spp 3 tag03_tag03 5 3 51767 24337.0833333333 1.01118473158576 1.48168946566454 1233291.963 31.2
HAP002 E1_tag04_tag04_5 15 14 E within-spp 1 tag04_tag04 5 1 18882.0833333333 9474.66666666667 2.97027605534347 4.44026175063327 988214.7137 25
HAP002 E1_tag05_tag05_5 8 8 E within-spp 1 tag05_tag05 5 2 106577.083333333 27111.25 0.280660711144125 0.886716768869012 988214.7137 25
HAP002 E1_tag06_tag06_5 12 12 E within-spp 1 tag06_tag06 5 3 23044 12535.5 1.94705780246485 2.87663036974991 988214.7137 25
HAP002 E2_tag07_tag07_5 9 8 E within-spp 2 tag07_tag07 5 1 53469.3333333333 26345.5 0.629351403920004 0.91248979901691 988214.7137 25
HAP002 E2_tag08_tag08_5 27 20 E within-spp 2 tag08_tag08 5 2 85651.75 36773.5833333333 1.17864491968932 1.63432536490189 988214.7137 25
HAP002 E2_tag09_tag09_5 18 15 E within-spp 2 tag09_tag09 5 3 71253.6666666667 27239.4166666667 0.944540865733225 1.65477111905847 988214.7137 25
HAP002 E3_tag10_tag10_5 5 5 E within-spp 3 tag10_tag10 5 1 95299.0833333333 33571.1666666667 0.196171876434628 0.447556683066322 988214.7137 25
HAP002 E3_tag11_tag11_5 14 14 E within-spp 3 tag11_tag11 5 2 55053.8333333333 24044.5 0.950814808535888 1.74967248227245 988214.7137 25
HAP002 E3_tag12_tag12_5 14 13 E within-spp 3 tag12_tag12 5 3 87549.75 28992.5833333333 0.597900051113795 1.34741356266401 988214.7137 25
HAP002 F1_tag26_tag26_5 0 0 F within-spp 1 tag26_tag26 5 1 41197.9166666667 16100.1666666667 0 0 790571.7709 20
HAP002 F1_tag27_tag27_5 0 0 F within-spp 1 tag27_tag27 5 2 23306.9166666667 10469.8333333333 0 0 790571.7709 20
HAP002 F1_tag28_tag28_5 0 0 F within-spp 1 tag28_tag28 5 3 18639.5833333333 9589.08333333333 0 0 790571.7709 20
HAP002 F2_tag29_tag29_5 15 14 F within-spp 2 tag29_tag29 5 1 43709.4166666667 17799.9166666667 1.28313311586176 2.36349421111522 790571.7709 20
HAP002 F2_tag31_tag31_5 4 4 F within-spp 2 tag31_tag31 5 2 46117.0833333333 21385.75 0.324304984595369 0.562056509591667 790571.7709 20
HAP002 F2_tag32_tag32_5 4 4 F within-spp 2 tag32_tag32 5 3 37461.9166666667 16921.1666666667 0.399232109052972 0.710352911048293 790571.7709 20
HAP002 F3_tag33_tag33_5 0 0 F within-spp 3 tag33_tag33 5 1 16264.1666666667 9796.66666666667 0 0 790571.7709 20
HAP002 F3_tag34_tag34_5 0 0 F within-spp 3 tag34_tag34 5 2 34638.8333333333 16727.3333333333 0 0 790571.7709 20
HAP002 F3_tag35_tag35_5 0 0 F within-spp 3 tag35_tag35 5 3 107520.75 33064.75 0 0 790571.7709 20
HAP002 G1_tag36_tag36_5 0 0 G within-spp 1 tag36_tag36 5 1 64215.4166666667 24392.9166666667 0 0 632457.4168 16
HAP002 G1_tag37_tag37_5 0 0 G within-spp 1 tag37_tag37 5 2 88482.8333333333 24713.3333333333 0 0 632457.4168 16
HAP002 G1_tag38_tag38_5 0 0 G within-spp 1 tag38_tag38 5 3 63038.8333333333 22368.1666666667 0 0 632457.4168 16
HAP002 G2_tag51_tag51_5 0 0 G within-spp 2 tag51_tag51 5 1 63523.5833333333 24557.6666666667 0 0 632457.4168 16
HAP002 G2_tag52_tag52_5 0 0 G within-spp 2 tag52_tag52 5 2 48798.75 18807.4166666667 0 0 632457.4168 16
HAP002 G2_tag53_tag53_5 0 0 G within-spp 2 tag53_tag53 5 3 58767.0833333333 19930.6666666667 0 0 632457.4168 16
HAP002 G3_tag54_tag54_5 0 0 G within-spp 3 tag54_tag54 5 1 44243.8333333333 16296.5 0 0 632457.4168 16
HAP002 G3_tag55_tag55_5 0 0 G within-spp 3 tag55_tag55 5 2 118403.833333333 27811.3333333333 0 0 632457.4168 16
HAP002 G3_tag56_tag56_5 0 0 G within-spp 3 tag56_tag56 5 3 73786.5833333333 22722.8333333333 0 0 632457.4168 16
HAP003 A1_tag01_tag01_4 111 105 A within-spp 1 tag01_tag01 4 1 8862.91666666667 6642.41666666667 46.827586855343 47.5015368402564 2146082.933 61
HAP003 A1_tag02_tag02_4 38 38 A within-spp 1 tag02_tag02 4 2 3739.5 3199.41666666667 37.9949191068325 35.6908811502097 2146082.933 61
HAP003 A1_tag03_tag03_4 82 78 A within-spp 1 tag03_tag03 4 3 4090.66666666667 3441.41666666667 74.9506192959583 68.1085793156888 2146082.933 61
HAP003 A2_tag04_tag04_4 81 67 A within-spp 2 tag04_tag04 4 1 8054.83333333333 4966.83333333333 37.5996606592315 40.5358880574477 2146082.933 61
HAP003 A2_tag05_tag05_4 94 88 A within-spp 2 tag05_tag05 4 2 20218.5 9843.33333333333 17.3833865024606 26.864883169658 2146082.933 61
HAP003 A2_tag06_tag06_4 155 145 A within-spp 2 tag06_tag06 4 3 11132.5 7331.83333333333 52.0588367392769 59.4292014275647 2146082.933 61
HAP003 A3_tag07_tag07_4 306 269 A within-spp 3 tag07_tag07 4 1 20534 13127.0833333333 55.7190026297847 61.5784161244247 2146082.933 61
HAP003 A3_tag08_tag08_4 169 151 A within-spp 3 tag08_tag08 4 2 13864.1666666667 10376 45.5772795576125 43.7312066306862 2146082.933 61
HAP003 A3_tag09_tag09_4 95 91 A within-spp 3 tag09_tag09 4 3 5023.08333333333 4038.58333333333 70.714534565423 67.7106246002105 2146082.933 61
HAP003 B1_tag10_tag10_4 114 104 B within-spp 1 tag10_tag10 4 1 13509.4166666667 9230.5 31.55176944477 33.8573208385245 1716866.346 48.8
HAP003 B1_tag11_tag11_4 112 107 B within-spp 1 tag11_tag11 4 2 8899.83333333333 6538.83333333333 47.0534654207008 49.1731450564576 1716866.346 48.8
HAP003 B1_tag12_tag12_4 71 69 B within-spp 1 tag12_tag12 4 3 25193.0833333333 13387.5833333333 10.5373763301435 15.4878587746108 1716866.346 48.8
HAP003 B2_tag26_tag26_4 132 119 B within-spp 2 tag26_tag26 4 1 6644.41666666667 4447 74.28010986668 80.4126377333034 1716866.346 48.8
HAP003 B2_tag27_tag27_4 160 143 B within-spp 2 tag27_tag27 4 2 25910.1666666667 11220.6666666667 23.0890062459395 38.296744103143 1716866.346 48.8
HAP003 B2_tag28_tag28_4 94 89 B within-spp 2 tag28_tag28 4 3 4064.83333333333 3005.08333333333 86.4650457173316 88.9975319597349 1716866.346 48.8
HAP003 B3_tag29_tag29_4 128 120 B within-spp 3 tag29_tag29 4 1 11664.5 7126.33333333333 41.0297912469459 50.6010571121194 1716866.346 48.8
HAP003 B3_tag31_tag31_4 168 164 B within-spp 3 tag31_tag31 4 2 9583.58333333333 6830.16666666667 65.5445857934141 72.1534369585906 1716866.346 48.8
HAP003 B3_tag32_tag32_4 328 302 B within-spp 3 tag32_tag32 4 3 14251.5 8574.16666666667 86.0535382240466 105.842355914083 1716866.346 48.8
HAP003 C1_tag33_tag33_4 120 110 C within-spp 1 tag33_tag33 4 1 18745.25 10774 23.935663701471 30.6803415630221 1372085.81 39
HAP003 C1_tag34_tag34_4 43 21 C within-spp 1 tag34_tag34 4 2 15205.6666666667 5962.91666666667 10.5734923383826 10.5829082523933 1372085.81 39
HAP003 C1_tag35_tag35_4 131 121 C within-spp 1 tag35_tag35 4 3 16927.5833333333 10320.9166666667 28.9355539036385 35.2299133636386 1372085.81 39
